id,semantic,tags,category,description
KensIcons-phone-apple-iphone,kensicons-phone-apple-iphone,"kensicons,apple,phone,iphone",ui,Kensicons Phone Apple Iphone icon
KensIcons-phone-google-nexus-one,kensicons-phone-google-nexus-one,"nexus,google,one,kensicons,phone",ui,Kensicons Phone Google Nexus One icon
KensIcons-phone-htc-g1-white,kensicons-phone-htc-g1-white,"htc,white,g1,kensicons,phone",ui,Kensicons Phone Htc G1 White icon
KensIcons-phone-palm-pre,kensicons-phone-palm-pre,"pre,kensicons,palm,phone",ui,Kensicons Phone Palm Pre icon
KensIcons-phone,kensicons-phone,"kensicons,phone",ui,Kensicons Phone icon
KensIcons-preferences-desktop-accessibility,kensicons-preferences-desktop-accessibility,"desktop,kensicons,accessibility,preferences",ui,Kensicons Preferences Desktop Accessibility icon
KensIcons-preferences-desktop-display,kensicons-preferences-desktop-display,"desktop,kensicons,display,preferences",ui,Kensicons Preferences Desktop Display icon
KensIcons-preferences-desktop-font,kensicons-preferences-desktop-font,"desktop,kensicons,preferences,font",ui,Kensicons Preferences Desktop Font icon
KensIcons-preferences-desktop-keyboard,kensicons-preferences-desktop-keyboard,"desktop,kensicons,keyboard,preferences",security,Kensicons Preferences Desktop Keyboard icon
KensIcons-preferences-desktop-keyboard-shortcuts,kensicons-preferences-desktop-keyboard-shortcuts,"desktop,keyboard,preferences,kensicons,shortcuts",security,Kensicons Preferences Desktop Keyboard Shortcuts icon
KensIcons-preferences-desktop-locale,kensicons-preferences-desktop-locale,"desktop,kensicons,locale,preferences",ui,Kensicons Preferences Desktop Locale icon
KensIcons-preferences-desktop-peripherals,kensicons-preferences-desktop-peripherals,"desktop,kensicons,peripherals,preferences",ui,Kensicons Preferences Desktop Peripherals icon
KensIcons-preferences-desktop-personal,kensicons-preferences-desktop-personal,"desktop,kensicons,personal,preferences",ui,Kensicons Preferences Desktop Personal icon
KensIcons-preferences-desktop,kensicons-preferences-desktop,"desktop,kensicons,preferences",ui,Kensicons Preferences Desktop icon
KensIcons-preferences-desktop-remote-desktop,kensicons-preferences-desktop-remote-desktop,"desktop,kensicons,remote,preferences",ui,Kensicons Preferences Desktop Remote Desktop icon
KensIcons-preferences-desktop-screensaver,kensicons-preferences-desktop-screensaver,"desktop,kensicons,screensaver,preferences",ui,Kensicons Preferences Desktop Screensaver icon
KensIcons-preferences-desktop-theme,kensicons-preferences-desktop-theme,"desktop,kensicons,preferences,theme",ui,Kensicons Preferences Desktop Theme icon
KensIcons-preferences-desktop-wallpaper,kensicons-preferences-desktop-wallpaper,"desktop,kensicons,preferences,wallpaper",files,Kensicons Preferences Desktop Wallpaper icon
KensIcons-preferences-other,kensicons-preferences-other,"other,kensicons,preferences",ui,Kensicons Preferences Other icon
KensIcons-preferences-system-network,kensicons-preferences-system-network,"kensicons,system,preferences,network",network,Kensicons Preferences System Network icon
KensIcons-preferences-system,kensicons-preferences-system,"kensicons,system,preferences",ui,Kensicons Preferences System icon
KensIcons-preferences-system-windows,kensicons-preferences-system-windows,"kensicons,system,preferences,windows",ui,Kensicons Preferences System Windows icon
KensIcons-printer-error,kensicons-printer-error,"printer,kensicons,error",ui,Kensicons Printer Error icon
KensIcons-printer,kensicons-printer,"printer,kensicons",ui,Kensicons Printer icon
KensIcons-printer-printing,kensicons-printer-printing,"printer,kensicons,printing",ui,Kensicons Printer Printing icon
KensIcons-process-stop,kensicons-process-stop,"kensicons,process,stop",ui,Kensicons Process Stop icon
